employee_id,full_name,gender,age,email,phone_number,address,department,designation,reporting_manager,joining_date,employment_type,work_location,salary_band,skills,emergency_contact
E0001,Chitranshu Sanket,Male,38,chitranshu.sanket@fekutech.com,1043321819,"H.No. 133, Bala Circle, Bongaigaon-379402",Leadership,CEO,,2021-01-15,Full-time,Bhubaneswar,45L-60L,"Leadership, Strategy",Harini Mall
E0002,Tanveer Nayar,Other,27,tanveer.nayar@fekutech.com,+911615594078,"H.No. 849, Handa Path, Ranchi 413164",Leadership,CTO,Isha Kadakia,2026-04-04,Full-time,Bhubaneswar,4L-12L,"LangGraph, Kubernetes, LangChain",Janya Gaba
E0003,Isha Kadakia,Other,47,isha.kadakia@fekutech.com,4192832764,"H.No. 305, Loyal Marg, Rajpur Sonarpur-376724",Leadership,HR Director,Isha Kadakia,2023-05-05,Full-time,Remote,30L-45L,"Python, PyTorch, OpenAI API",Yatin Yohannan
E0004,Priya Rastogi,Male,40,priya.rastogi@fekutech.com,03287101226,"97, Krishnamurthy Circle, Raipur 514627",Human Resources,HR Executive,Deepika Nayak,2023-01-09,Full-time,Bhubaneswar,4L-8L,"Spark, Spring Boot, Next.js",Adya Tella
E0005,Yashica Cherian,Female,49,yashica.cherian@fekutech.com,4893252880,"H.No. 154, Bhardwaj Ganj, Tezpur 171822",Human Resources,Talent Acquisition Specialist,Chitranshu Sanket,2026-05-12,Full-time,Bhubaneswar,4L-12L,"SQL, Airflow, LangGraph",Noah Lanka
E0006,Siddharth Zacharia,Male,48,siddharth.zacharia@fekutech.com,3465787133,"H.No. 983, Kannan, Madurai 310518",Finance,Finance Manager,Siddharth Zacharia,2024-07-05,Full-time,Remote,12L-20L,"PostgreSQL, TypeScript, Airflow",Arya Sunder
E0007,Kevin Solanki,Male,47,kevin.solanki@fekutech.com,+917631165667,"H.No. 651, Handa Ganj, Jorhat 262473",Finance,Accountant,Siddharth Zacharia,2023-10-28,Full-time,Remote,4L-8L,"React, Kafka, AWS",Saanvi Chaudhari
E0008,Alexander Chander,Other,35,alexander.chander@fekutech.com,+912677360260,"46, Sur Circle, Jhansi-309805",AI & Machine Learning,AI Team Lead,Alexander Chander,2023-02-28,Full-time,Bhubaneswar,30L-45L,"SQL, LangChain",Chandresh Sood
E0009,Dakshesh Trivedi,Female,26,dakshesh.trivedi@fekutech.com,+912191361939,"99, Mutti Circle, Kurnool 346247",AI & Machine Learning,AI Engineer,Alexander Chander,2025-02-03,Full-time,Remote,8L-18L,"Spark, SQL, Hugging Face, PyTorch",Elijah Andra
E0010,Harish Borah,Female,35,harish.borah@fekutech.com,3842513542,"80/84, Desai Zila, Bhiwandi-824493",AI & Machine Learning,AI Engineer,Alexander Chander,2025-03-22,Full-time,Bhubaneswar,8L-18L,"SQL, PyTorch, Airflow, LangChain, PostgreSQL, Kafka",Samar Lalla
